x1 (cm),y1 (cm),freq (GHz),"Electric field norm (V/m), Boundary Probe 2","Electric field norm (V/m), Boundary Probe 3","Electric field norm (V/m), Point Probe 2","Electric field norm (V/m), Detector"
-7,-7,8.2,0.750514081,0.637334866,0.712855058,0.613361567
-7,-7,8.3,0.744011405,0.626352662,0.665018789,0.609799304
-7,-7,8.4,0.731710115,0.614385284,0.603043172,0.610238369
-7,-7,8.5,0.713612201,0.612725475,0.534488275,0.611529249
-7,-7,8.6,0.706848668,0.616764361,0.474500349,0.601931301
-7,-7,8.7,0.704773886,0.614243117,0.439221291,0.610677214
-7,-7,8.8,0.698320979,0.607908277,0.426539557,0.605513261
-7,-7,8.9,0.690038119,0.599953774,0.416194804,0.588932565
-7,-7,9,0.68035908,0.5988232,0.397199972,0.572931029
-7,-7,9.1,0.668336073,0.604553274,0.373278997,0.56456764
-7,-7,9.2,0.652509731,0.610938998,0.360498503,0.564977437
-7,-7,9.3,0.635944986,0.609869204,0.404693443,0.566867963
-7,-7,9.4,0.632786839,0.60219142,0.495637767,0.578658833
-7,-7,9.5,0.634965818,0.597858771,0.564212741,0.606955782
-7,-7,9.6,0.638649816,0.601445597,0.59605488,0.625543339
-7,-7,9.7,0.642117308,0.607217602,0.602765482,0.629204648
-7,-7,9.8,0.644700549,0.609597559,0.600187826,0.622655491
-7,-7,9.9,0.645927291,0.604220774,0.599400786,0.612317616
-7,-7,10,0.64525054,0.592772981,0.610186424,0.603521217
-7,-7,10.1,0.650275823,0.590642065,0.668527362,0.594548895
-7,-7,10.2,0.661937895,0.603826273,0.719140776,0.597596973
-7,-7,10.3,0.674008228,0.61438335,0.740589617,0.620386819
-7,-7,10.4,0.6844394,0.617134972,0.72969408,0.6478864
-7,-7,10.5,0.695130752,0.614485297,0.703340267,0.668888953
-7,-7,10.6,0.70561471,0.610419807,0.66741748,0.681869696
-7,-7,10.7,0.712853585,0.611740032,0.623585736,0.686846784
-7,-7,10.8,0.716096108,0.620269533,0.582478741,0.683388129
-7,-7,10.9,0.722608359,0.626779515,0.547400094,0.672254765
-7,-7,11,0.729798293,0.624120097,0.517715537,0.654293713
-7.5,-7.5,5,0.583282329,0.586971178,0.865296291,0.540974926
-7.5,-7.5,5.1,0.585211529,0.586347533,0.849373834,0.565655381
-7.5,-7.5,5.2,0.587751799,0.595711968,0.825246954,0.590762624
-7.5,-7.5,5.3,0.594734205,0.606851459,0.79447857,0.603314878
-7.5,-7.5,5.4,0.611819139,0.610999987,0.764332428,0.583873141
-7.5,-7.5,5.5,0.63846203,0.599179019,0.74224058,0.587594615
-7.5,-7.5,5.6,0.662661471,0.598749125,0.726253084,0.661237141
-7.5,-7.5,5.7,0.681688083,0.614359461,0.706745496,0.700704387
