% r0 (cm),freq (GHz),"Electric field norm (V/m), Point: (-0.088666, -0.09507)","Electric field norm (V/m), Boundary Probe 2","Electric field norm (V/m), Boundary Probe 3","Electric field norm (V/m), Point Probe 2"
6.1,10.8,0,0.672640295,0.655420646,0.425615655
6.1,10.9,0,0.695425142,0.652735602,0.427282846
6.1,11,0,0.717184307,0.657727279,0.421122438
6,9,0,0.723294327,0.694052834,0.240534107
6,9.1,0,0.714292259,0.69017839,0.223259617
6,9.2,0,0.705528946,0.683590545,0.204405086
6,9.3,0,0.696885625,0.676925031,0.225733955
6,9.4,0,0.691737266,0.672886896,0.245804769
6,9.5,0,0.675403059,0.672554451,0.258839386
6,9.6,0,0.650152903,0.669400422,0.263211701
6,9.7,0,0.626620849,0.664377241,0.265479239
6,9.8,0,0.609506431,0.658990547,0.267850721
6,9.9,0,0.599887793,0.653119233,0.270997249
6,10,0,0.596958979,0.647903461,0.277628484
6,10.1,0,0.60475879,0.64697779,0.291882383
6,10.2,0,0.619830419,0.655246273,0.310008525
6,10.3,0,0.6228552,0.663111881,0.335773838
6,10.4,0,0.618515617,0.663652376,0.356424213
6,10.5,0,0.622818198,0.664760384,0.374169899
6,10.6,0,0.6368759,0.667096872,0.392176922
6,10.7,0,0.654577552,0.666880739,0.407596944
6,10.8,0,0.674672915,0.663252678,0.422068843
6,10.9,0,0.697834077,0.660237036,0.423818268
6,11,0,0.719948476,0.663933868,0.417822431
5.9,9,0,0.725596885,0.690698882,0.240975829
5.9,9.1,0,0.71661551,0.687903956,0.223646713
5.9,9.2,0,0.707849326,0.682041366,0.203509004
5.9,9.3,0,0.699665971,0.676568661,0.22467397
5.9,9.4,0,0.694799185,0.67359693,0.246012624
5.9,9.5,0,0.678367319,0.673339346,0.26011936
5.9,9.6,0,0.652874148,0.670359047,0.265059741
5.9,9.7,0,0.628891621,0.665162255,0.267529087
5.9,9.8,0,0.611492191,0.659331247,0.269780706
5.9,9.9,0,0.601756623,0.652869999,0.272575648
5.9,10,0,0.598933719,0.64685064,0.279065545
5.9,10.1,0,0.607270613,0.646136572,0.291886605
5.9,10.2,0,0.622571542,0.654803161,0.30794583
5.9,10.3,0,0.625145267,0.664565591,0.332393198
5.9,10.4,0,0.620147015,0.667307379,0.352569147
5.9,10.5,0,0.624225366,0.669733894,0.370077266
5.9,10.6,0,0.638402342,0.672880819,0.388056081
5.9,10.7,0,0.656344922,0.67338731,0.403692203
5.9,10.8,0,0.676888505,0.67057914,0.418530655
5.9,10.9,0,0.700431428,0.667800054,0.420335312
5.9,11,0,0.722913164,0.672331267,0.414489159
5.8,9,0,0.728282825,0.686837433,0.24140834
5.8,9.1,0,0.71913585,0.684855923,0.224021138
5.8,9.2,0,0.710402117,0.679502522,0.202553535
5.8,9.3,0,0.702659602,0.674819153,0.223413963
5.8,9.4,0,0.698077239,0.673185064,0.246075737
