x1 (cm),y1 (cm),freq (GHz),"Electric field norm (V/m), Boundary Probe 2","Electric field norm (V/m), Boundary Probe 3","Electric field norm (V/m), Point Probe 2","Electric field norm (V/m), Detector 1","Electric field norm (V/m), Detector 2p","Electric field norm (V/m), Detector 2n","Electric field norm (V/m), Boundary Probe 3n","Electric field norm (V/m), Boundary Probe 4n","Electric field norm (V/m), Boundary Probe 4p","Electric field norm (V/m), Boundary Probe 3p"
-9,-9,31.6,0.69792,0.61261,0.56947,0.36962,1.0429,1.0429,1.0181,1.0064,1.0064,1.0181
-9,-9,31.7,0.6994,0.61127,0.50571,0.37256,1.0465,1.0465,1.0149,1.0048,1.0048,1.0149
-9,-9,31.8,0.69902,0.61499,0.44367,0.37812,1.0462,1.0462,1.0145,1.0025,1.0025,1.0145
-9,-9,31.9,0.69619,0.61803,0.40634,0.3887,1.0442,1.0442,1.0148,1.0025,1.0025,1.0148
-9,-9,32,0.69242,0.61747,0.38952,0.40262,1.0427,1.0427,1.0132,1.0056,1.0056,1.0132
-9.5,-9.5,1,0.60751,0.55449,0.42375,1.0576,0.8616,0.8616,0.96409,1.0499,1.0499,0.96409
-9.5,-9.5,1.1,0.64534,0.5697,0.44844,1.0905,0.8053,0.8053,0.99807,1.0301,1.0301,0.99807
-9.5,-9.5,1.2,0.67925,0.58864,0.46873,1.1162,0.7316,0.7316,1.0493,1.0037,1.0037,1.0493
-9.5,-9.5,1.3,0.70556,0.61157,0.48463,1.1285,0.64289,0.64289,1.1013,1.0179,1.0179,1.1013
-9.5,-9.5,1.4,0.7187,0.62729,0.49823,1.1188,0.55136,0.55136,1.1427,1.0876,1.0876,1.1427
-9.5,-9.5,1.5,0.7165,0.62741,0.51649,1.0849,0.48338,0.48338,1.1678,1.153,1.153,1.1678
-9.5,-9.5,1.6,0.70468,0.62718,0.54404,1.0363,0.46191,0.46191,1.173,1.1431,1.1431,1.173
-9.5,-9.5,1.7,0.69244,0.64479,0.5744,0.98971,0.48555,0.48555,1.1572,1.0425,1.0425,1.1572
-9.5,-9.5,1.8,0.686,0.67072,0.60039,0.95786,0.53553,0.53553,1.1229,0.89066,0.89066,1.1229
-9.5,-9.5,1.9,0.68793,0.69021,0.62036,0.94573,0.59344,0.59344,1.0805,0.76128,0.76128,1.0805
-9.5,-9.5,2,0.69861,0.69503,0.63542,0.95062,0.64854,0.64854,1.0519,0.7215,0.7215,1.0519
-9.5,-9.5,2.1,0.71599,0.68507,0.64706,0.96146,0.69678,0.69678,1.0706,0.77341,0.77341,1.0706
-9.5,-9.5,2.2,0.7336,0.66922,0.65645,0.95814,0.73922,0.73922,1.1556,0.87805,0.87805,1.1556
-9.5,-9.5,2.3,0.74233,0.66788,0.66436,0.92227,0.78036,0.78036,1.2657,1.0043,1.0043,1.2657
-9.5,-9.5,2.4,0.73945,0.67652,0.67119,0.85894,0.82362,0.82362,1.3215,1.1273,1.1273,1.3215
-9.5,-9.5,2.5,0.73176,0.67656,0.67685,0.79475,0.86882,0.86882,1.2905,1.2196,1.2196,1.2905
-9.5,-9.5,2.6,0.72738,0.67039,0.68057,0.7514,0.91403,0.91403,1.1942,1.2586,1.2586,1.1942
-9.5,-9.5,2.7,0.73053,0.66416,0.68023,0.73562,0.95689,0.95689,1.0699,1.2304,1.2304,1.0699
-9.5,-9.5,2.8,0.7424,0.66358,0.67123,0.74487,0.99305,0.99305,0.95775,1.1332,1.1332,0.95775
-9.5,-9.5,2.9,0.7621,0.6711,0.64586,0.77013,1.0133,1.0133,0.89098,0.99249,0.99249,0.89098
-9.5,-9.5,3,0.78576,0.68054,0.59954,0.78976,1.0063,1.0063,0.87431,0.89245,0.89245,0.87431
-9.5,-9.5,3.1,0.80393,0.67927,0.55352,0.76916,0.98395,0.98395,0.8777,0.94231,0.94231,0.8777
-9.5,-9.5,3.2,0.80883,0.6626,0.54297,0.69716,0.98953,0.98953,0.86987,1.0692,1.0692,0.86987
-9.5,-9.5,3.3,0.80352,0.64658,0.55024,0.60334,1.029,1.029,0.858,1.124,1.124,0.858
-9.5,-9.5,3.4,0.79146,0.6455,0.54244,0.51318,1.0696,1.0696,0.86012,1.0975,1.0975,0.86012
-9.5,-9.5,3.5,0.77217,0.65284,0.50767,0.4336,1.0888,1.0888,0.88235,1.0292,1.0292,0.88235
